Ch_1,Ch_2,Ch_3,Ch_4,Sample
-2.6767,1.4295,-3.2201,-6.6306,1
10.983,16.262,17.285,11.668,2
6.8602,-2.3337,7.1161,0.59211,3
6.8503,8.2491,9.7749,4.9618,4
6.1652,7.3314,9.2477,8.3671,5
13.828,16.534,10.33,6.3844,6
2.7118,2.7331,-1.3383,-5.4439,7
6.473,6.7016,2.1262,-2.5884,8
10.446,5.382,-0.47347,-4.6673,9
17.174,11.336,6.0795,4.558,10
13.187,7.8438,9.6455,11.581,11
15.544,7.6619,12.656,14.298,12
20.814,11.517,21.202,18.679,13
22.052,9.3337,21.27,19.107,14
26.879,17.121,27.536,27.962,15
24.62,4.2923,26.549,27.96,16
26.068,14.862,23.47,25.613,17
4.7927,-3.6281,-4.1349,3.2433,18
1.5961,0.91213,-8.238,-4.6259,19
0.92853,-3.6785,-14.817,-14.067,20
5.2536,7.1489,-18.575,-21.104,21
1.4683,1.3242,-17.34,-19.17,22
9.838,9.8146,-0.57413,-0.27123,23
3.9747,4.2206,-3.0737,-3.4444,24
7.076,9.6012,3.9981,5.5933,25
6.7468,3.95,5.4983,9.7168,26
19.167,14.217,16.663,19.674,27
29.274,20.707,28.191,28.816,28
26.793,13.4,33.316,34.224,29
16.667,10.279,28.084,26.455,30
9.0036,4.9303,18.924,14.181,31
9.0979,12.676,19.22,7.675,32
4.7604,-1.0306,12.78,4.4631,33
10.914,9.981,17.875,15.896,34
-1.9348,-4.1941,12.657,11.499,35
0.40226,1.0353,24.126,22.784,36
-3.8282,-11.408,15.24,18.495,37
-0.006254,-0.4742,16.697,20.586,38
-1.365,-9.6935,6.2859,11.772,39
1.7043,-7.2699,4.4181,8.8262,40
-4.612,-10.527,-3.7245,-4.3517,41
10.024,3.9221,4.013,4.3117,42
9.1407,9.3106,1.4307,-2.5422,43
7.9191,12.048,-1.5224,-5.6151,44
16.027,14.628,9.8518,7.2565,45
10.817,7.5916,6.2905,4.7168,46
8.4622,13.819,4.2258,2.0572,47
7.264,4.0539,2.0649,2.7144,48
6.4599,12.945,3.482,5.0926,49
-6.4601,-5.1627,-4.4025,-3.665,50
0.79237,6.6134,6.9551,4.9219,51
0.57093,-5.2784,0.61918,0.31989,52
5.5858,4.9893,8.0727,8.2633,53
-0.21273,-3.5614,5.5252,1.758,54
6.2585,2.7733,18.63,15.523,55
2.7728,2.0096,16.956,14.792,56
12.15,10.792,22.414,20.554,57
19.568,11.427,36.858,33.196,58
27.9,12.651,49.147,43.935,59
21.386,9.2779,45.421,44.406,60
11.585,4.0256,35.53,37.417,61
11.613,9.1659,30.897,31.071,62
10.016,2.4943,27.363,29.834,63
10.418,11.533,28.786,29.31,64
1.9474,-2.5442,12.494,11.249,65
2.9277,5.3462,8.7022,6.5201,66
-7.579,-7.5557,-2.5347,-1.5297,67
0.73108,7.274,6.4605,9.5892,68
2.4869,1.2394,8.8594,10.516,69
8.0421,7.9215,19.006,15.926,70
-5.5487,-4.6921,3.4532,1.6483,71
-3.1711,5.7102,1.9875,1.342,72
-6.598,3.8971,-3.9803,-7.8505,73
-6.9567,5.1056,-3.2988,-7.3988,74
-9.1272,3.3445,-1.6691,-6.028,75
-8.4245,2.9278,-4.4771,-11.091,76
-14.455,2.2473,-11.495,-17.777,77
-18.996,-6.6078,-10.987,-12.061,78
-12.772,2.7772,-8.5189,-4.5734,79
-17.77,-11.445,-18.115,-9.5252,80
-12.322,1.447,-10.517,-1.4067,81
-18.022,-9.0609,-17.923,-10.665,82
-4.7657,6.282,-3.0068,1.8202,83
-3.4959,-3.6495,-2.4276,3.286,84
-2.0405,1.1952,2.2048,7.4414,85
-16.987,-12.962,-9.7038,-3.0351,86
-16.2,-7.8935,-6.0874,0.19847,87
-20.042,-16.056,-17.22,-8.7966,88
-10.577,-9.566,-16.179,-5.1838,89
-8.3183,-7.2231,-10.247,2.9751,90
-12.241,-10.477,-6.6829,2.023,91
-16.782,-10.568,-12.092,-3.5751,92
-23.408,-17.497,-21.588,-10.101,93
-13.139,-2.4589,-10.958,0.20794,94
-11.581,-11.532,-7.2598,4.7516,95
-9.2148,-4.6796,-2.7691,7.2962,96
-11.683,-15.869,-4.4461,5.949,97
-8.1528,-5.4603,8.5635,16.077,98
-11.627,-19.821,2.7915,11.231,99
-3.0302,-10.02,3.8497,9.9056,100
-9.689,-17.607,-8.227,-0.30316,101
5.4804,-1.4851,-0.29119,8.5242,102
-8.5362,-19.939,-13.826,-1.523,103
-19.613,-32.516,-20.191,-9.0661,104
-0.44012,-0.011994,-16.939,-10.447,105
5.6452,13.901,-15.942,-12.67,106
-10.672,-7.5723,-18.138,-17.628,107
-6.1027,-7.5022,-10.273,-6.0783,108
0.72262,4.2571,-6.7496,-2.8091,109
-8.8642,-7.9487,-18.52,-14.727,110
-8.6799,-1.6273,-14.992,-12.286,111
-16.909,-11.543,-25.958,-27.143,112
-19.509,-1.3259,-28.989,-32.49,113
-21.915,-13.453,-34.029,-32.474,114
-12.822,-1.7628,-33.879,-30.844,115
-23.206,-13.316,-49.915,-45.431,116
-20.269,-7.1463,-37.425,-35.126,117
-21.008,-14.319,-31.24,-28.298,118
-7.3311,-3.8509,-19.689,-13.643,119
-15.242,-10.347,-21.816,-14.991,120
-17.207,-7.9578,-19.558,-15.078,121
-17.454,-9.9331,-24.245,-19.469,122
-13.645,-8.7067,-26.617,-15.649,123
-9.6078,-4.2003,-23.567,-13.115,124
-11.701,-9.1489,-21.691,-15.049,125
-15.331,-3.7205,-23.803,-20.097,126
-26.655,-14.589,-38.968,-36.827,127
-20.157,-2.7906,-37.648,-37.231,128
-16.478,-11.758,-36.461,-31.89,129
-7.1782,1.1851,-20.381,-13.067,130
-18.682,-8.3229,-26.43,-18.268,131
-9.9955,1.3775,-19.091,-15.212,132
-19.076,-13.455,-29.303,-27.086,133
-17.406,-4.1698,-24.051,-17.498,134
-20.458,-9.1482,-29.448,-20.554,135
-21.737,-6.2277,-29.665,-29.478,136
-27.806,-8.4454,-39.322,-45.459,137
-28.081,-7.8141,-39.597,-46.774,138
-21.669,-4.3677,-33.418,-41.896,139
-23.793,-15.914,-28.603,-32.883,140
-27.516,-28.877,-23.51,-28.862,141
-7.7914,-4.3045,-29.828,-32.069,142
0.61513,11.684,-32.084,-32.042,143
-19.16,-25.317,-38.695,-39.778,144
-15.033,-11.193,-28.194,-26.433,145
-26.543,-23.505,-40.397,-37.902,146
-29.021,-18.989,-43.9,-41.851,147
-38.236,-28.868,-56.095,-51.66,148
-25.953,-11.153,-39.683,-40.53,149
-22.644,-11.341,-39.91,-40.731,150
-14.137,-5.0883,-33.975,-30.213,151
-13.58,-13.031,-31.015,-30.922,152
-14.657,-12.021,-28.755,-31.909,153
-15.42,-13.005,-25.245,-23.439,154
-5.8923,-9.9823,-14.535,-6.267,155
-4.3496,-8.7673,-8.2837,-0.16764,156
-10.626,-20.556,-12.229,-7.8346,157
-13.172,-14.252,-15.141,-13.628,158
-15.639,-22.667,-23.602,-24.005,159
-1.8167,-6.2258,-17.49,-17.962,160
-1.9453,-6.8806,-18.376,-15.514,161
7.6797,4.2565,-3.0704,0.084441,162
0.36944,-8.7608,-6.8493,-0.44256,163
7.0104,-0.67506,-2.5885,9.1422,164
16.338,-4.7057,0.28191,13.207,165
24.706,2.1428,14.225,19.78,166
9.387,-17.786,8.3944,13.456,167
